range
10000
2000000
10000	20000	30000	40000	50000	60000	70000	80000	90000	100000	110000	120000	130000	140000	150000	160000	170000	180000	190000	200000	210000	220000	230000	240000	250000	260000	270000	280000	290000	300000	310000	320000	330000	340000	350000	360000	370000	380000	390000	400000	410000	420000	430000	440000	450000	460000	470000	480000	490000	500000	510000	520000	530000	540000	550000	560000	570000	580000	590000	600000	610000	620000	630000	640000	650000	660000	670000	680000	690000	700000	710000	720000	730000	740000	750000	760000	770000	780000	790000	800000	810000	820000	830000	840000	850000	860000	870000	880000	890000	900000	910000	920000	930000	940000	950000	960000	970000	980000	990000	1000000	1010000	1020000	1030000	1040000	1050000	1060000	1070000	1080000	1090000	1100000	1110000	1120000	1130000	1140000	1150000	1160000	1170000	1180000	1190000	1200000	1210000	1220000	1230000	1240000	1250000	1260000	1270000	1280000	1290000	1300000	1310000	1320000	1330000	1340000	1350000	1360000	1370000	1380000	1390000	1400000	1410000	1420000	1430000	1440000	1450000	1460000	1470000	1480000	1490000	1500000	1510000	1520000	1530000	1540000	1550000	1560000	1570000	1580000	1590000	1600000	1610000	1620000	1630000	1640000	1650000	1660000	1670000	1680000	1690000	1700000	1710000	1720000	1730000	1740000	1750000	1760000	1770000	1780000	1790000	1800000	1810000	1820000	1830000	1840000	1850000	1860000	1870000	1880000	1890000	1900000	1910000	1920000	1930000	1940000	1950000	1960000	1970000	1980000	1990000	2000000	------------------
Total Memory: 62,914,560
 Free Memory: 60,817,408
 Max Memory: 1,006,632,960
 name                           | 	 shuffle  | 	 elements     | 	 duration_ms  | 	 p_duration_s | 	 p_duration_ns | 	 memory     
 selection                      | 	 / 1      | 	 140,000      | 	 15,195       | 	 15           | 	 194,281,000  | 	 0          
 insertion                      | 	 / 1      | 	 140,000      | 	 86,581       | 	 86           | 	 580,790,000  | 	 0          
 bubble                         | 	 / 1      | 	 140,000      | 	 125,118      | 	 125          | 	 118,148,000  | 	 0          
 shell                          | 	 / 1      | 	 140,000      | 	 85,462       | 	 85           | 	 461,747,000  | 	 0          
 merge sort                     | 	 / 1      | 	 140,000      | 	 55           | 	 0            | 	 54,149,000   | 	 -15,728,640 
 Arrays.sort                    | 	 / 1      | 	 140,000      | 	 63           | 	 0            | 	 62,493,000   | 	 788,000    
 Arrays.parallelSort            | 	 / 1      | 	 140,000      | 	 27           | 	 0            | 	 26,742,000   | 	 -7,880,128 
 Linked Hashmap                 | 	 / 1      | 	 140,000      | 	 64           | 	 0            | 	 64,270,000   | 	 5,245,784  
 Stream + parallel + sort       | 	 / 1      | 	 140,000      | 	 54           | 	 0            | 	 53,126,000   | 	 -3,379,936 
 selection                      | 	 / 1      | 	 150,000      | 	 17,215       | 	 17           | 	 215,676,000  | 	 0          
 insertion                      | 	 / 1      | 	 150,000      | 	 133,500      | 	 133          | 	 499,822,000  | 	 0          
 bubble                         | 	 / 1      | 	 150,000      | 	 141,150      | 	 141          | 	 149,796,000  | 	 0          
 shell                          | 	 / 1      | 	 150,000      | 	 107,073      | 	 107          | 	 72,639,000   | 	 -7,774,720 
 merge sort                     | 	 / 1      | 	 150,000      | 	 53           | 	 0            | 	 53,361,000   | 	 1,048,576  
 Arrays.sort                    | 	 / 1      | 	 150,000      | 	 46           | 	 0            | 	 46,410,000   | 	 807,472    
 Arrays.parallelSort            | 	 / 1      | 	 150,000      | 	 31           | 	 0            | 	 30,437,000   | 	 -13,266,184 
 Linked Hashmap                 | 	 / 1      | 	 150,000      | 	 45           | 	 0            | 	 44,849,000   | 	 8,060,456  
 Stream + parallel + sort       | 	 / 1      | 	 150,000      | 	 41           | 	 0            | 	 40,149,000   | 	 -5,515,808 
 selection                      | 	 / 1      | 	 160,000      | 	 19,806       | 	 19           | 	 805,847,000  | 	 0          
 insertion                      | 	 / 1      | 	 160,000      | 	 151,442      | 	 151          | 	 441,687,000  | 	 0          
 bubble                         | 	 / 1      | 	 160,000      | 	 163,172      | 	 163          | 	 171,569,000  | 	 0          
 shell                          | 	 / 1      | 	 160,000      | 	 110,795      | 	 110          | 	 795,302,000  | 	 -7,340,032 
 merge sort                     | 	 / 1      | 	 160,000      | 	 55           | 	 0            | 	 55,203,000   | 	 1,048,576  
 Arrays.sort                    | 	 / 1      | 	 160,000      | 	 49           | 	 0            | 	 48,701,000   | 	 939,056    
 Arrays.parallelSort            | 	 / 1      | 	 160,000      | 	 37           | 	 0            | 	 36,818,000   | 	 -11,255,264 
 Linked Hashmap                 | 	 / 1      | 	 160,000      | 	 67           | 	 0            | 	 67,108,000   | 	 4,179,408  
 Stream + parallel + sort       | 	 / 1      | 	 160,000      | 	 41           | 	 0            | 	 41,214,000   | 	 -3,911,808 
 selection                      | 	 / 1      | 	 170,000      | 	 22,028       | 	 22           | 	 28,345,000   | 	 0          
 insertion                      | 	 / 1      | 	 170,000      | 	 127,965      | 	 127          | 	 964,790,000  | 	 0          
 bubble                         | 	 / 1      | 	 170,000      | 	 178,081      | 	 178          | 	 80,760,000   | 	 0          
 shell                          | 	 / 1      | 	 170,000      | 	 130,427      | 	 130          | 	 426,982,000  | 	 -16,777,216 
 merge sort                     | 	 / 1      | 	 170,000      | 	 73           | 	 0            | 	 73,034,000   | 	 -7,234,264 
 Arrays.sort                    | 	 / 1      | 	 170,000      | 	 70           | 	 0            | 	 70,386,000   | 	 836,032    
 Arrays.parallelSort            | 	 / 1      | 	 170,000      | 	 49           | 	 0            | 	 49,524,000   | 	 -5,359,120 
 Linked Hashmap                 | 	 / 1      | 	 170,000      | 	 71           | 	 0            | 	 70,936,000   | 	 7,331,312  
 Stream + parallel + sort       | 	 / 1      | 	 170,000      | 	 112          | 	 0            | 	 112,466,000  | 	 -8,524,512 
 selection                      | 	 / 1      | 	 180,000      | 	 27,299       | 	 27           | 	 298,942,000  | 	 0          
 insertion                      | 	 / 1      | 	 180,000      | 	 141,072      | 	 141          | 	 72,505,000   | 	 0          
 bubble                         | 	 / 1      | 	 180,000      | 	 244,961      | 	 244          | 	 960,846,000  | 	 0          
 shell                          | 	 / 1      | 	 180,000      | 	 145,033      | 	 145          | 	 33,669,000   | 	 0          
 merge sort                     | 	 / 1      | 	 180,000      | 	 87           | 	 0            | 	 87,322,000   | 	 -14,412,336 
 Arrays.sort                    | 	 / 1      | 	 180,000      | 	 57           | 	 0            | 	 56,340,000   | 	 909,784    
 Arrays.parallelSort            | 	 / 1      | 	 180,000      | 	 29           | 	 0            | 	 28,953,000   | 	 -4,822,248 
 Linked Hashmap                 | 	 / 1      | 	 180,000      | 	 105          | 	 0            | 	 104,166,000  | 	 -1,303,560 
 Stream + parallel + sort       | 	 / 1      | 	 180,000      | 	 81           | 	 0            | 	 81,013,000   | 	 -11,236,680 
 selection                      | 	 / 1      | 	 190,000      | 	 31,587       | 	 31           | 	 586,572,000  | 	 0          
 insertion                      | 	 / 1      | 	 190,000      | 	 161,810      | 	 161          | 	 810,186,000  | 	 0          
 bubble                         | 	 / 1      | 	 190,000      | 	 268,811      | 	 268          | 	 810,891,000  | 	 0          
 shell                          | 	 / 1      | 	 190,000      | 	 155,655      | 	 155          | 	 655,406,000  | 	 0          
 merge sort                     | 	 / 1      | 	 190,000      | 	 70           | 	 0            | 	 70,329,000   | 	 -12,582,912 
 Arrays.sort                    | 	 / 1      | 	 190,000      | 	 58           | 	 0            | 	 57,988,000   | 	 773,264    
 Arrays.parallelSort            | 	 / 1      | 	 190,000      | 	 29           | 	 0            | 	 28,546,000   | 	 557,072    
 Linked Hashmap                 | 	 / 1      | 	 190,000      | 	 33           | 	 0            | 	 32,801,000   | 	 17,303,552 
 Stream + parallel + sort       | 	 / 1      | 	 190,000      | 	 49           | 	 0            | 	 49,261,000   | 	 6,806,624  
 selection                      | 	 / 1      | 	 200,000      | 	 35,953       | 	 35           | 	 952,580,000  | 	 0          
 insertion                      | 	 / 1      | 	 200,000      | 	 178,115      | 	 178          | 	 115,004,000  | 	 0          
 bubble                         | 	 / 1      | 	 200,000      | 	 255,227      | 	 255          | 	 226,844,000  | 	 0          
 shell                          | 	 / 1      | 	 200,000      | 	 178,716      | 	 178          | 	 715,584,000  | 	 0          
 merge sort                     | 	 / 1      | 	 200,000      | 	 92           | 	 0            | 	 92,078,000   | 	 1,048,576  
 Arrays.sort                    | 	 / 1      | 	 200,000      | 	 105          | 	 0            | 	 104,784,000  | 	 793,264    
 Arrays.parallelSort            | 	 / 1      | 	 200,000      | 	 39           | 	 0            | 	 38,407,000   | 	 -63,408,112 
 Linked Hashmap                 | 	 / 1      | 	 200,000      | 	 43           | 	 0            | 	 43,558,000   | 	 21,497,856 
 Stream + parallel + sort       | 	 / 1      | 	 200,000      | 	 102          | 	 0            | 	 101,532,000  | 	 -111,736   
 selection                      | 	 / 1      | 	 210,000      | 	 40,558       | 	 40           | 	 557,554,000  | 	 0          
 insertion                      | 	 / 1      | 	 210,000      | 	 193,853      | 	 193          | 	 853,258,000  | 	 0          
 bubble                         | 	 / 1      | 	 210,000      | 	 276,387      | 	 276          | 	 387,079,000  | 	 0          
 shell                          | 	 / 1      | 	 210,000      | 	 190,993      | 	 190          | 	 992,593,000  | 	 0          
 merge sort                     | 	 / 1      | 	 210,000      | 	 74           | 	 0            | 	 74,610,000   | 	 1,048,576  
 Arrays.sort                    | 	 / 1      | 	 210,000      | 	 87           | 	 0            | 	 87,092,000   | 	 936,208    
 Arrays.parallelSort            | 	 / 1      | 	 210,000      | 	 40           | 	 0            | 	 40,271,000   | 	 -39,290,864 
 Linked Hashmap                 | 	 / 1      | 	 210,000      | 	 43           | 	 0            | 	 43,618,000   | 	 22,020,096 
 Stream + parallel + sort       | 	 / 1      | 	 210,000      | 	 102          | 	 0            | 	 101,142,000  | 	 -2,614,688 
 selection                      | 	 / 1      | 	 220,000      | 	 50,521       | 	 50           | 	 520,983,000  | 	 0          
 insertion                      | 	 / 1      | 	 220,000      | 	 217,646      | 	 217          | 	 646,520,000  | 	 0          
