 name                           | 	 shuffle  | 	 elements     | 	 duration_ms  | 	 p_duration_s | 	 p_duration_ns | 	 memory     
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 230,000      | 	 65           | 	 0            | 	 64,939,000   | 	 8,276,552  
 merge sort                     | 	 / 1 (n_const)  | 	 240,000      | 	 90           | 	 0            | 	 90,048,000   | 	 1,048,576  
 Arrays.sort                    | 	 / 1 (n_const)  | 	 240,000      | 	 89           | 	 0            | 	 89,447,000   | 	 742,176    
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 240,000      | 	 46           | 	 0            | 	 45,442,000   | 	 1,048,576  
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 240,000      | 	 82           | 	 0            | 	 82,338,000   | 	 22,028,192 
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 240,000      | 	 77           | 	 0            | 	 77,728,000   | 	 470,496    
 merge sort                     | 	 / 1 (n_const)  | 	 250,000      | 	 95           | 	 0            | 	 95,038,000   | 	 -20,492,288 
 Arrays.sort                    | 	 / 1 (n_const)  | 	 250,000      | 	 78           | 	 0            | 	 77,575,000   | 	 762,176    
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 250,000      | 	 52           | 	 0            | 	 52,563,000   | 	 1,370,360  
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 250,000      | 	 87           | 	 0            | 	 86,939,000   | 	 11,512,040 
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 250,000      | 	 75           | 	 0            | 	 74,854,000   | 	 2,097,152  
 merge sort                     | 	 / 1 (n_const)  | 	 260,000      | 	 98           | 	 0            | 	 97,932,000   | 	 1,048,576  
 Arrays.sort                    | 	 / 1 (n_const)  | 	 260,000      | 	 83           | 	 0            | 	 83,318,000   | 	 847,728    
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 260,000      | 	 84           | 	 0            | 	 84,520,000   | 	 -7,780,760 
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 260,000      | 	 137          | 	 0            | 	 136,854,000  | 	 14,157,824 
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 260,000      | 	 76           | 	 0            | 	 75,935,000   | 	 3,493,904  
 merge sort                     | 	 / 1 (n_const)  | 	 270,000      | 	 137          | 	 0            | 	 137,053,000  | 	 -8,390,656 
 Arrays.sort                    | 	 / 1 (n_const)  | 	 270,000      | 	 97           | 	 0            | 	 96,457,000   | 	 1,441,824  
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 270,000      | 	 51           | 	 0            | 	 50,837,000   | 	 2,700,152  
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 270,000      | 	 65           | 	 0            | 	 64,944,000   | 	 26,214,400 
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 270,000      | 	 75           | 	 0            | 	 74,721,000   | 	 11,403,488 
 merge sort                     | 	 / 1 (n_const)  | 	 280,000      | 	 107          | 	 0            | 	 106,183,000  | 	 2,097,152  
 Arrays.sort                    | 	 / 1 (n_const)  | 	 280,000      | 	 114          | 	 0            | 	 113,863,000  | 	 2,555,952  
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 280,000      | 	 53           | 	 0            | 	 52,950,000   | 	 2,097,152  
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 280,000      | 	 341          | 	 0            | 	 340,491,000  | 	 -12,029,952 
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 280,000      | 	 75           | 	 0            | 	 74,989,000   | 	 12,044,528 
 merge sort                     | 	 / 1 (n_const)  | 	 290,000      | 	 111          | 	 0            | 	 110,879,000  | 	 2,097,152  
 Arrays.sort                    | 	 / 1 (n_const)  | 	 290,000      | 	 107          | 	 0            | 	 106,796,000  | 	 2,359,312  
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 290,000      | 	 59           | 	 0            | 	 58,887,000   | 	 2,097,152  
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 290,000      | 	 289          | 	 0            | 	 288,499,000  | 	 1,613,824  
