idx,name,shuffle,elements,duration_ms,p_duration_s,p_duration_ns,memory
80, merge sort                     , 	 / 1      ," 	 170,000      ", 	 63           ,0," 	 63,506,000   "," 	 1,048,576  "
81, Arrays.sort                    , 	 / 1      ," 	 170,000      ", 	 56           ,0," 	 56,245,000   "," 	 862,256    "
82, Arrays.parallelSort            , 	 / 1      ," 	 170,000      ", 	 35           ,0," 	 35,259,000   "," 	 1,122,680  "
83, Linked Hashmap                 , 	 / 1      ," 	 170,000      ", 	 43           ,0," 	 42,272,000   "," 	 15,728,640 "
84, Stream + parallel + sort       , 	 / 1      ," 	 170,000      ", 	 52           ,0," 	 52,318,000   "," 	 6,785,744  "
85, merge sort                     , 	 / 1      ," 	 180,000      ", 	 67           ,0," 	 67,272,000   "," 	 1,048,576  "
86, Arrays.sort                    , 	 / 1      ," 	 180,000      ", 	 58           ,0," 	 58,159,000   "," 	 882,256    "
87, Arrays.parallelSort            , 	 / 1      ," 	 180,000      ", 	 48           ,0," 	 47,245,000   "," 	 1,234,456  "
88, Linked Hashmap                 , 	 / 1      ," 	 180,000      ", 	 44           ,0," 	 44,132,000   "," 	 16,777,216 "
89, Stream + parallel + sort       , 	 / 1      ," 	 180,000      ", 	 52           ,0," 	 51,802,000   "," 	 6,945,296  "
90, merge sort                     , 	 / 1      ," 	 190,000      ", 	 72           ,0," 	 72,095,000   "," 	 1,048,576  "
91, Arrays.sort                    , 	 / 1      ," 	 190,000      ", 	 67           ,0," 	 67,054,000   "," 	 642,176    "
92, Arrays.parallelSort            , 	 / 1      ," 	 190,000      ", 	 40           ,0," 	 40,110,000   "," 	 1,048,576  "
93, Linked Hashmap                 , 	 / 1      ," 	 190,000      ", 	 53           ,0," 	 53,123,000   "," 	 17,299,456 "
94, Stream + parallel + sort       , 	 / 1      ," 	 190,000      ", 	 72           ,0," 	 71,606,000   "," 	 7,397,216  "
95, merge sort                     , 	 / 1      ," 	 200,000      ", 	 76           ,0," 	 76,059,000   "," 	 1,048,576  "
96, Arrays.sort                    , 	 / 1      ," 	 200,000      ", 	 82           ,0," 	 81,881,000   "," 	 662,176    "
97, Arrays.parallelSort            , 	 / 1      ," 	 200,000      ", 	 48           ,0," 	 47,490,000   "," 	 1,048,576  "
98, Linked Hashmap                 , 	 / 1      ," 	 200,000      ", 	 396          ,0," 	 395,137,000  "," 	 -202,954,976 "
99, Stream + parallel + sort       , 	 / 1      ," 	 200,000      ", 	 78           ,0," 	 78,095,000   "," 	 7,725,888  "
100, merge sort                     , 	 / 1      ," 	 210,000      ", 	 94           ,0," 	 94,489,000   "," 	 1,048,576  "
101, Arrays.sort                    , 	 / 1      ," 	 210,000      ", 	 97           ,0," 	 97,365,000   "," 	 942,256    "
102, Arrays.parallelSort            , 	 / 1      ," 	 210,000      ", 	 54           ,0," 	 54,045,000   "," 	 1,048,576  "
103, Linked Hashmap                 , 	 / 1      ," 	 210,000      ", 	 66           ,0," 	 65,264,000   "," 	 22,020,096 "
104, Stream + parallel + sort       , 	 / 1      ," 	 210,000      ", 	 78           ,0," 	 77,053,000   "," 	 7,920,912  "
105, merge sort                     , 	 / 1      ," 	 220,000      ", 	 115          ,0," 	 114,899,000  "," 	 1,048,576  "
106, Arrays.sort                    , 	 / 1      ," 	 220,000      ", 	 114          ,0," 	 113,355,000  "," 	 962,256    "
107, Arrays.parallelSort            , 	 / 1      ," 	 220,000      ", 	 53           ,0," 	 53,224,000   "," 	 1,163,304  "
108, Linked Hashmap                 , 	 / 1      ," 	 220,000      ", 	 61           ,0," 	 60,904,000   "," 	 23,068,672 "
109, Stream + parallel + sort       , 	 / 1      ," 	 220,000      ", 	 173          ,0," 	 172,356,000  "," 	 -4,194,304 "
110, merge sort                     , 	 / 1      ," 	 230,000      ", 	 96           ,0," 	 96,378,000   "," 	 1,048,576  "
111, Arrays.sort                    , 	 / 1      ," 	 230,000      ", 	 98           ,0," 	 98,011,000   "," 	 982,256    "
112, Arrays.parallelSort            , 	 / 1      ," 	 230,000      ", 	 58           ,0," 	 57,227,000   "," 	 1,102,288  "
113, Linked Hashmap                 , 	 / 1      ," 	 230,000      ", 	 77           ,0," 	 76,873,000   "," 	 23,590,912 "
114, Stream + parallel + sort       , 	 / 1      ," 	 230,000      ", 	 87           ,0," 	 86,508,000   "," 	 8,619,232  "
115, merge sort                     , 	 / 1      ," 	 240,000      ", 	 115          ,0," 	 115,120,000  "," 	 1,048,576  "
116, Arrays.sort                    , 	 / 1      ," 	 240,000      ", 	 142          ,0," 	 141,811,000  "," 	 1,002,256  "
117, Arrays.parallelSort            , 	 / 1      ," 	 240,000      ", 	 52           ,0," 	 51,961,000   "," 	 1,048,576  "
118, Linked Hashmap                 , 	 / 1      ," 	 240,000      ", 	 270          ,0," 	 269,986,000  "," 	 6,291,456  "
119, Stream + parallel + sort       , 	 / 1      ," 	 240,000      ", 	 81           ,0," 	 80,425,000   "," 	 9,569,688  "
120, merge sort                     , 	 / 1      ," 	 250,000      ", 	 113          ,0," 	 113,823,000  "," 	 1,048,576  "
121, Arrays.sort                    , 	 / 1      ," 	 250,000      ", 	 212          ,0," 	 212,435,000  "," 	 -17,327,824 "
122, Arrays.parallelSort            , 	 / 1      ," 	 250,000      ", 	 135          ,0," 	 134,733,000  "," 	 1,164,440  "
123, Linked Hashmap                 , 	 / 1      ," 	 250,000      ", 	 84           ,0," 	 84,610,000   "," 	 25,165,824 "
124, Stream + parallel + sort       , 	 / 1      ," 	 250,000      ", 	 88           ,0," 	 88,036,000   "," 	 9,047,312  "
125, merge sort                     , 	 / 1      ," 	 260,000      ", 	 111          ,0," 	 111,226,000  "," 	 1,048,576  "
126, Arrays.sort                    , 	 / 1      ," 	 260,000      ", 	 109          ,0," 	 108,353,000  "," 	 1,042,256  "
127, Arrays.parallelSort            , 	 / 1      ," 	 260,000      ", 	 53           ,0," 	 52,852,000   "," 	 1,148,032  "
128, Linked Hashmap                 , 	 / 1      ," 	 260,000      ", 	 183          ,0," 	 183,204,000  "," 	 16,890,104 "
129, Stream + parallel + sort       , 	 / 1      ," 	 260,000      ", 	 83           ,0," 	 82,124,000   "," 	 9,451,320  "
130, merge sort                     , 	 / 1      ," 	 270,000      ", 	 107          ,0," 	 107,298,000  "," 	 2,097,152  "
131, Arrays.sort                    , 	 / 1      ," 	 270,000      ", 	 109          ,0," 	 108,488,000  "," 	 1,581,072  "
